Tarih,Hisse,Puan,RSI,Hacim Gücü,Trend,Aksiyon
2026-02-16,THYAO.IS,92.4,91.6,0.4,UP,🔴 Geri çekilme bekle
2026-02-16,AEFES.IS,91.2,90.8,0.3,UP,🔴 Geri çekilme bekle
2026-02-16,SISE.IS,85.8,87.2,0.37,UP,🔴 Geri çekilme bekle
2026-02-16,VAKBN.IS,83.9,85.9,0.34,UP,🔴 Geri çekilme bekle
2026-02-16,FROTO.IS,83.1,85.4,0.51,UP,🔴 Geri çekilme bekle
2026-02-16,ARCLK.IS,81.2,84.1,0.22,UP,🟠 Dikkatli al
2026-02-16,PGSUS.IS,79.3,82.9,0.68,UP,🟠 Dikkatli al
2026-02-16,MGROS.IS,78.7,82.5,0.38,UP,🟠 Dikkatli al
2026-02-16,BIMAS.IS,75.7,80.5,0.4,UP,🟠 Dikkatli al
2026-02-16,KCHOL.IS,70.2,76.8,0.43,UP,🟠 Dikkatli al
2026-02-16,ISCTR.IS,69.7,76.5,0.36,UP,🟠 Dikkatli al
2026-02-16,ENKAI.IS,65.7,73.8,0.32,UP,🟡 Alınabilir
2026-02-16,KRDMD.IS,64.8,73.2,0.51,UP,🟡 Alınabilir
2026-02-16,TCELL.IS,64.6,73.1,0.53,UP,🟡 Alınabilir
2026-02-16,SASA.IS,64.0,69.3,2.22,DOWN,🔴 Alma
2026-02-16,BRSAN.IS,63.7,72.5,0.34,UP,🟡 Alınabilir
2026-02-16,TOASO.IS,63.3,72.2,0.39,UP,🟡 Alınabilir
2026-02-16,ODAS.IS,61.7,71.1,0.31,UP,🟡 Alınabilir
2026-02-16,AGHOL.IS,61.2,70.8,0.37,UP,🟡 Alınabilir
2026-02-16,CCOLA.IS,61.2,70.8,0.26,UP,🟡 Alınabilir
2026-02-16,EREGL.IS,59.6,69.7,0.56,UP,🟡 Alınabilir
2026-02-16,YKBNK.IS,58.6,69.1,0.2,UP,🟡 Alınabilir
2026-02-16,SAHOL.IS,58.2,68.8,0.44,UP,🟡 Alınabilir
